event_A,event_B,broadcaster_A,broadcaster_B,category,combined_score,embedding_similarity,topic_jaccard,lexical_similarity
5,6,Brazil,Brazil,Same Broadcaster,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Brazil,Japan_abema,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Brazil,Japan_goat,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Brazil,UK,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_abema,Brazil,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_abema,Japan_abema,Same Broadcaster,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_abema,Japan_goat,Same Language (Japan),0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_abema,UK,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_goat,Brazil,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_goat,Japan_abema,Same Language (Japan),0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_goat,Japan_goat,Same Broadcaster,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_goat,UK,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,UK,Brazil,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,UK,Japan_abema,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,UK,Japan_goat,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,UK,UK,Same Broadcaster,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
56,59,Brazil,Brazil,Same Broadcaster,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Brazil,Japan_abema,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Brazil,Japan_goat,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Brazil,UK,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_abema,Brazil,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_abema,Japan_abema,Same Broadcaster,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_abema,Japan_goat,Same Language (Japan),0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_abema,UK,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_goat,Brazil,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_goat,Japan_abema,Same Language (Japan),0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_goat,Japan_goat,Same Broadcaster,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_goat,UK,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,UK,Brazil,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,UK,Japan_abema,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,UK,Japan_goat,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,UK,UK,Same Broadcaster,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
5,73,Brazil,Brazil,Same Broadcaster,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Brazil,Japan_abema,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Brazil,Japan_goat,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Brazil,UK,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_abema,Brazil,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_abema,Japan_abema,Same Broadcaster,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_abema,Japan_goat,Same Language (Japan),0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_abema,UK,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_goat,Brazil,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_goat,Japan_abema,Same Language (Japan),0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_goat,Japan_goat,Same Broadcaster,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_goat,UK,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,UK,Brazil,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,UK,Japan_abema,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,UK,Japan_goat,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
