Topic_ID,Count,Top_Words
0,1820,"bhai(0.028), kya(0.022), hai(0.020), bhi(0.016), raha(0.013), bhai bhai(0.012), hai bhai(0.012), match(0.011), zee bhai(0.010), koi(0.010)"
1,1074,"goodvibes goodvibes(0.092), الله(0.037), his hand(0.023), 200(0.018), a llorar(0.018), tent(0.017), glasses(0.016), pura(0.010), jajajaja(0.010), who is(0.010)"
2,1037,"mastantuono(0.024), gaya(0.022), rigged(0.021), senabre(0.021), mandriles(0.017), room(0.013), payaso(0.013), varça(0.013), barça barça(0.013), jagah(0.010)"
3,973,"face(0.018), smiling face(0.017), purple crying(0.015), face purple(0.015), blue smiling(0.014), face green(0.014), crying face(0.014), face turquoise(0.012), face orange(0.011), droopy eyes(0.010)"
4,950,"odio(0.058), compra árbitros(0.056), fc negreira(0.055), corrupto(0.052), fc(0.037), club(0.034), la verdad(0.022), come on(0.017), night(0.016), je(0.015)"
5,767,"yamal is(0.018), where is(0.010), lamine(0.008), didnt(0.008), now(0.008), talk(0.007), yamal should(0.007), he could(0.007), is not(0.007), kid(0.006)"
6,725,"ponkyy(0.120), my(0.064), vamoooos(0.043), tent(0.028), getting(0.021), wtf(0.017), ki jersey(0.017), goallllll(0.016), bro(0.016), hell(0.016)"
7,674,"1 goal(0.019), mappe(0.016), el gol(0.011), offside(0.010), incoming(0.007), de mbappe(0.007), goal walo(0.007), shot(0.006), goal was(0.006), one(0.005)"
8,649,"8 2(0.035), rigged(0.033), fan and(0.033), be happy(0.033), a real(0.032), if u(0.031), is your(0.031), move on(0.031), classicos(0.030), last 4(0.027)"
9,627,"madrid madrid(0.031), madrid vamos(0.030), hala madrid(0.029), مدريد(0.018), viva españa(0.009), teams(0.006), was playing(0.005), vamos real(0.005), valores(0.005), so good(0.005)"
10,475,"madrid hala(0.068), halla madrid(0.015), paris(0.013), hala madridddd(0.011), madrid visca(0.009), madrid madrid(0.008), hala madridd(0.008), con un(0.007), réal(0.005), ala madrid(0.004)"
11,471,"barcelonaaa(0.018), vamos barça(0.016), ke(0.013), del barcelona(0.013), al barça(0.012), vamoooos(0.011), fc(0.010), scared(0.008), nul nul(0.008), atraco(0.007)"
12,464,"la seleccion(0.016), seguir(0.015), franco(0.014), y los(0.013), bastardo soto(0.011), paga árbitros(0.010), iturralde(0.009), paga(0.009), se escribe(0.008), escribe(0.008)"
13,452,"hala madrid(0.061), red number(0.021), number one(0.021), one finger(0.019), halal(0.012), oops(0.005), proud(0.004), be a(0.003), good night(0.003), barca hala(0.003)"
14,441,"lamin(0.033), lamine is(0.027), talk shit(0.015), wants to(0.014), he has(0.012), match and(0.012), neymar(0.012), bit(0.011), should not(0.011), is the(0.011)"
15,391,"is on(0.147), careras(0.145), thats why(0.140), yamal you(0.138), vini is(0.109), against(0.106), dean(0.100), he is(0.075), yellow(0.023), assist(0.017)"
16,391,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
17,344,"ho(0.029), q(0.023), gya(0.022), vini ko(0.020), de mbappe(0.016), bohot(0.015), escribe(0.014), sub(0.011), jeet(0.011), drama(0.011)"
18,328,"we won(0.022), casado(0.016), inshallah(0.015), gano(0.015), gagne(0.015), a win(0.013), will win(0.012), can(0.012), we don(0.012), rapha(0.012)"
19,306,"min(0.106), minutos(0.099), 9 min(0.094), extra(0.034), timer(0.024), hasta que(0.016), behind(0.015), wtf(0.013), injury(0.011), stp(0.011)"
20,283,"el penalti(0.031), no penalty(0.031), es penalti(0.030), a penalty(0.028), por la(0.015), it is(0.014), penal(0.013), clear(0.011), la prensa(0.010), jamais(0.009)"
21,281,"a llorar(0.058), baby(0.043), jajajaja(0.026), cope(0.015), hard(0.015), gonna(0.013), i love(0.013), culés(0.012), a 1(0.011), bro(0.011)"
22,250,"pen(0.514), it s(0.023), how can(0.018), give(0.014), talking(0.014), bc(0.013), nobody(0.012), is not(0.010), retire(0.009), valid(0.009)"
23,248,"3 1(0.221), 0(0.062), 1 0(0.049), hogaya(0.011), come on(0.009), i want(0.008), creo(0.007), barça barça(0.007), should be(0.007), hua(0.006)"
24,240,"visca barca(0.099), vamos barca(0.090), barca vamos(0.072), du barca(0.020), barcaaaaa(0.016), hala barca(0.012), barca ko(0.011), no juega(0.011), nul nul(0.008), con un(0.008)"
25,238,"tebas(0.092), negreira y(0.090), ladrones(0.045), corruptos(0.043), rob(0.032), a robar(0.021), robando(0.018), arbitral(0.015), somos(0.015), paga(0.012)"
26,211,"arsenal(0.020), from xabi(0.013), we need(0.013), proud of(0.013), 00 from(0.012), game from(0.012), a striker(0.012), you think(0.012), corner(0.010), good in(0.010)"
27,202,"se borró(0.037), siempre en(0.027), yamil(0.026), equipo que(0.026), dejo(0.026), al equipo(0.026), son unos(0.026), año pasado(0.026), pasado(0.023), y no(0.022)"
28,201,"to watch(0.211), for free(0.061), the match(0.031), how to(0.026), live(0.024), india(0.014), tell me(0.010), can we(0.009), bro(0.009), do u(0.008)"
29,196,"chavales(0.081), thank you(0.053), more than(0.044), guys(0.038), should be(0.035), d(0.030), poli(0.022), birthday(0.021), peut(0.020), saludos(0.019)"
30,182,"tardes(0.035), buenas(0.032), odio(0.029), los arbitros(0.021), la boca(0.021), chat(0.019), they are(0.015), eres(0.015), es un(0.015), shit(0.013)"
31,181,"ferran torres(0.027), st(0.026), ferran is(0.023), out(0.020), attack(0.018), sell(0.015), subbed(0.013), should be(0.013), rashy(0.011), bring(0.011)"
32,170,"con vinicius(0.056), quedar(0.025), kiki(0.025), la primera(0.025), lamine no(0.023), es la(0.023), no tiene(0.022), vinicius no(0.020), given(0.019), cambios(0.019)"
33,167,"varcalona(0.108), where is(0.038), trash(0.029), ref(0.022), fc(0.019), decision(0.018), room(0.017), after the(0.016), inshallah(0.016), to make(0.016)"
34,162,"error(0.055), game is(0.024), try(0.023), analysis(0.021), show the(0.016), old(0.016), de lamine(0.015), bhaiya(0.015), futbol(0.014), always(0.014)"
35,161,"kiki(0.007), vamoss(0.006), penaltis(0.006), hala madridd(0.006), campeón(0.006), madrid halla(0.005), madridhala(0.005), it was(0.005), needed(0.004), madrid vamos(0.004)"
36,155,"2 2(0.415), atraco(0.015), 0(0.013), a 1(0.009), codazo(0.008), ho rha(0.006), would be(0.006), pls(0.006), nice(0.005), god(0.005)"
37,152,"handball(0.140), the ball(0.043), touch(0.036), il a(0.030), ballon(0.023), he was(0.020), a vinicius(0.017), no penalty(0.015), haram ball(0.014), hand ball(0.014)"
38,151,"yellow goal(0.066), goal text(0.065), trophy yellow(0.042), smiling trophy(0.042), number one(0.029), finger red(0.029), smile(0.020), person turquoise(0.017), blue peace(0.016), glasses purple(0.015)"
